"Fatal","Day","Lat","Lon","NonUSA","Nonairplane","Phase","Event","Personal","Multiple"
0,1,47.7767,-117.095,0,0,"MNV","SCF-PP",0,0
0,1,36.7789,-76.4456,0,0,"TOF","LOC-I",0,0
0,2,34.8842,-118.2117,0,0,"ENR","SCF-PP",0,0
0,2,41.6744,-93.0217,0,0,"LDG","Other",0,0
0,2,44.9017,-123.0036,0,0,"APR","SCF-PP",0,0
0,2,36.6656,-76.3206,0,0,"LDG","ARC",0,0
1,3,42.1678,-96.8461,0,0,"ENR","Other",0,0
0,3,27.54,-97.12,0,0,"TOF","FUEL",0,0
1,4,43.2044,-111.0719,0,0,"MNV","Other",0,0
0,4,27.9086,-82.6864,0,0,"LDG","ARC",0,0
0,4,35.9908,-115.1331,0,0,"APR","SCF-PP",0,0
0,4,47.18,-113.4453,0,0,"LDG","ARC",0,0
0,5,33.1583,-95.6211,0,0,"LDG","LOC-G",1,0
0,6,32.1275,-81.2022,0,0,"TOF","SCF-PP",1,0
1,7,36.1961,-86.3083,0,0,"ICL","SCF-PP",0,0
0,8,46.9206,-96.8158,0,0,"LDG","ARC",1,0
0,9,28.6278,-81.8028,0,0,"ICL","SCF-PP",0,0
1,10,36.7322,-119.8203,0,0,"ICL","SCF-PP",0,0
0,11,30.6225,-91.1411,0,0,"MNV","Other",1,0
1,12,32.6839,-94.9511,0,0,"APR","FUEL",0,0
0,12,31.3217,-85.4514,0,0,"LDG","ARC",1,0
0,13,44.8339,-119.0731,0,1,"MNV","FUEL",1,0
0,13,41.0778,-102.4647,0,0,"TOF","Other",1,0
1,14,37.5653,-76.4492,0,0,"ENR","SCF-NP",0,0
1,14,31.9642,-101.6586,0,0,"ENR","Other",0,0
1,14,40.0522,-108.2786,0,0,"ENR","LOC-I",0,0
0,14,41.2003,-74.6231,0,0,"LDG","ARC",0,0
0,16,35.8236,-84.5389,0,0,"APR","FUEL",0,0
0,16,28.2306,-82.1611,0,1,"STD","LOC-G",0,0
0,17,33.425,-83.4639,0,0,"ENR","FUEL",0,0
0,17,34.0789,-97.1092,0,0,"ENR","SCF-PP",0,0
1,18,40.3139,-112.0808,0,0,"ENR","Other",0,0
0,18,32.7189,-98.8917,0,0,"LDG","LOC-G",0,0
0,18,32.5647,-82.985,0,0,"LDG","ARC",1,0
0,18,27.0717,-82.4403,0,0,"LDG","ARC",0,0
0,19,32.8156,-96.355,0,0,"APR","LOC-I",1,0
0,19,38.3353,-95.115,0,0,"ENR","Other",1,0
0,19,37.6469,-75.7622,0,0,"LDG","LOC-I",0,0
0,19,37.7578,-97.2194,0,0,"APR","LOC-I",1,0
0,22,36.2672,-115.3411,0,1,"ICL","LOC-I",1,0
0,22,33.2228,-97.3469,0,0,"MNV","FUEL",0,0
0,23,34.6556,-112.4186,0,0,"LDG","ARC",0,0
0,24,33.4167,-112.0211,0,1,"ICL","SCF-PP",0,0
0,24,47.3292,-122.2267,0,0,"LDG","LOC-G",1,0
0,24,34.2639,-116.8561,0,0,"LDG","LOC-G",0,0
0,25,38.2028,-121.2633,0,0,"LDG","Other",0,0
1,26,39.6908,-83.9919,0,0,"APR","LOC-I",1,0
0,26,33.9783,-83.9617,0,0,"TOF","Other",1,0
0,27,40.6714,-73.3792,0,1,"ENR","SCF-PP",1,0
0,27,35.4336,-119.0544,0,0,"LDG","ARC",1,0
1,28,38.4789,-122.7864,0,0,"APR","LOC-I",0,0
0,29,33.9422,-96.395,0,0,"LDG","ARC",0,0
0,29,39.7297,-92.4567,0,0,"LDG","ARC",0,0
1,30,31.5397,-84.1908,0,0,"ICL","LOC-I",0,0
0,30,30.0714,-94.2142,0,1,"MNV","LOC-I",0,0
0,30,38.0517,-103.1203,0,0,"LDG","ARC",0,0
0,30,38.0481,-103.5128,0,0,"TOF","LOC-I",0,0
0,31,28.3417,-80.6861,0,0,"LDG","ARC",0,0
0,31,43.5919,-118.9556,0,0,"ENR","SCF-PP",0,0
0,31,25.8492,-81.39,0,0,"TXI","Other",0,0
0,31,29.7392,-98.4511,0,0,"LDG","LOC-G",0,0
1,32,29.5069,-95.4775,0,0,"TOF","LOC-I",1,0
1,32,30.6786,-88.2636,0,0,"APR","LOC-I",1,0
0,32,42.7036,-87.9539,0,0,"LDG","Other",0,0
1,32,38.5247,-89.0903,0,1,"ICL","SCF-PP",0,0
0,32,43.0672,-83.2722,0,0,"LDG","Other",0,0
0,33,25.9008,-80.1211,0,0,"ENR","SCF-PP",0,0
0,33,41.6039,-113.0936,0,0,"LDG","LOC-G",0,0
0,34,32.8219,-116.97,0,0,"STD","Other",1,1
0,34,32.8219,-116.97,0,0,"STD","Other",1,1
0,34,32.6794,-96.8661,0,0,"LDG","ARC",0,0
0,35,41.5239,-71.285,0,0,"APR","Other",0,0
1,36,33.7853,-118.4236,0,0,"MNV","Other",0,1
1,36,33.7853,-118.4236,0,0,"MNV","Other",0,1
1,36,33,-112.1219,0,0,"MNV","LOC-I",0,0
0,36,42.19,-122.6606,0,1,"ENR","SCF-NP",1,0
0,37,40.6172,-74.2447,0,1,"TOF","LOC-G",1,0
0,38,45.6297,-116.4753,0,0,"LDG","ARC",0,0
0,39,42.4153,-124.425,0,0,"LDG","Other",0,0
0,39,34.4211,-119.8425,0,0,"ENR","SCF-PP",0,0
0,39,45.8047,-108.5389,0,0,"LDG","ARC",0,0
0,40,41.2417,-76.9219,0,0,"ENR","Other",0,0
1,41,36.0947,-118.8733,0,0,"MNV","LOC-I",1,0
0,42,32.7464,-97.6825,0,0,"LDG","Other",0,0
1,43,30.4,-86.4714,0,0,"MNV","Other",0,0
0,43,40.8292,-72.8631,0,0,"LDG","Other",0,0
0,43,35.3344,-94.3739,0,0,"TOF","LOC-I",0,0
0,43,34.3475,-119.0608,0,0,"TXI","Other",1,1
0,43,34.3475,-119.0608,0,0,"TXI","Other",0,1
0,43,44.4242,-103.385,0,0,"APR","Other",0,0
0,43,45.1125,-87.625,0,1,"APR","SCF-PP",1,0
0,44,44.8664,-123.1983,0,0,"LDG","SCF-NP",0,0
0,44,39.1953,-119.7403,0,1,"LDG","LOC-I",0,0
0,44,38.2908,-122.6242,0,1,"LDG","Other",1,0
0,44,33.9747,-117.6364,0,0,"TXI","Other",0,1
0,44,33.9747,-117.6364,0,0,"STD","Other",0,1
0,44,61.2136,-149.8447,0,0,"TOF","Other",0,0
0,45,61.2067,-157.1672,0,0,"LDG","Other",0,0
0,45,30.0392,-93.0864,0,0,"TOF","LOC-G",0,0
1,47,33.4206,-112.6861,0,1,"TOF","LOC-I",0,0
0,47,30.7739,-96.4544,0,0,"ENR","SCF-PP",0,0
0,48,37.1319,-76.4931,0,0,"LDG","LOC-G",1,0
1,49,35.0086,-80.3686,0,0,"ENR","FUEL",1,0
1,49,21.3667,-157.9403,0,1,"ENR","SCF-NP",1,0
0,49,25.0017,-80.5369,0,0,"APR","Other",0,0
1,51,40.9611,-73.0844,0,0,"ENR","FUEL",1,0
0,51,28.4436,-81.2825,0,0,"TOF","Other",0,0
0,52,29.9592,-81.3397,0,0,"STD","Other",1,0
0,52,41.6858,-81.3906,0,0,"TOF","Other",1,0
0,53,34.2547,-118.4086,0,0,"ICL","SCF-PP",0,0
0,53,16.2578,-61.2625,1,0,"ICL","SCF-NP",1,0
0,54,29.6206,-81.6558,0,0,"ENR","SCF-PP",0,0
0,54,33.8025,-118.3386,0,1,"MNV","Other",1,0
0,54,39.1225,-108.5267,0,0,"LDG","SCF-NP",1,0
0,55,46.7439,-117.1094,0,0,"LDG","ARC",0,0
0,55,26.0072,-80.2372,0,0,"APR","SCF-PP",0,0
0,55,47.1961,-122.0203,0,0,"TXI","LOC-G",0,0
0,56,37.6933,-121.8203,0,0,"LDG","LOC-G",0,0
0,58,41.9103,-70.7289,0,0,"ICL","LOC-I",0,0
0,58,39.8414,-77.2747,0,0,"ICL","SCF-PP",0,0
0,58,38.8431,-85.815,0,0,"ENR","SCF-PP",0,0
0,58,39.3064,-87.9989,0,0,"LDG","Other",0,0
1,59,30.3564,-96.1067,0,0,"APR","LOC-I",0,0
0,59,29.6981,-82.2803,0,0,"LDG","Other",0,0
0,59,33.8756,-84.3019,0,0,"TOF","SCF-PP",0,0
0,60,35.0361,-107.3672,0,0,"ENR","FUEL",0,0
0,61,61.5717,-149.54,0,0,"LDG","LOC-G",1,0
1,61,32.4553,-99.6494,0,0,"TOF","LOC-I",0,0
0,61,31.1517,-81.3911,0,0,"LDG","ARC",0,0
0,61,41.3836,-72.5058,0,0,"LDG","Other",0,0
0,62,33.6,-111.6031,0,0,"MNV","SCF-PP",0,0
1,62,39.1175,-104.91,0,0,"ENR","LOC-I",0,0
0,62,33.8244,-116.5067,0,0,"TOF","SCF-PP",0,0
0,62,34.5675,-118.3083,0,1,"ENR","Other",0,0
0,62,30.9836,-91.8125,0,0,"ENR","SCF-PP",1,0
0,62,35.6525,-92.4003,0,0,"LDG","LOC-G",0,0
0,64,31.0558,-96.2506,0,0,"MNV","SCF-PP",0,0
0,65,33.2717,-111.5736,0,0,"ICL","LOC-I",0,0
0,65,40.8167,-73.2464,0,0,"ENR","SCF-PP",0,0
0,65,27.7239,-82.665,0,0,"ENR","SCF-PP",0,0
0,65,32.6156,-95.8681,0,0,"LDG","LOC-G",0,0
0,66,35.4833,-81.1611,0,0,"LDG","LOC-G",0,0
0,66,33.62,-111.9139,0,0,"LDG","ARC",0,0
0,69,40.2394,-75.5567,0,0,"ICL","SCF-PP",0,0
0,69,38.4192,-82.4944,0,0,"LDG","ARC",0,0
0,70,34.5714,-112.4192,0,0,"ICL","SCF-PP",0,0
1,71,36.0328,-106.0472,0,0,"APR","LOC-I",0,0
0,71,39.9828,-104.7022,0,0,"TOF","LOC-I",0,0
0,71,46.5794,-116.8111,0,0,"MNV","SCF-PP",1,0
1,72,28.5572,-81.7189,0,0,"ENR","SCF-PP",0,0
0,72,29.5211,-95.2422,0,0,"LDG","LOC-G",0,0
0,72,44.0017,-89.2003,0,0,"MNV","SCF-PP",0,0
0,72,41.555,-112.0622,0,0,"TOF","Other",0,0
0,72,34.8972,-81.08,0,1,"LDG","ARC",0,0
0,73,37.8914,-111.4633,0,0,"TOF","Other",0,0
1,73,43.1903,-111.0644,0,0,"ICL","LOC-I",0,0
0,73,44.4664,-73.1517,0,0,"TOF","LOC-G",0,0
0,73,33.2697,-111.8111,0,0,"LDG","LOC-G",0,0
0,74,27.3486,-82.1781,0,0,"ICL","SCF-PP",1,0
0,74,34.3531,-85.1511,0,0,"LDG","Other",1,0
0,75,31.9336,-102.2042,0,0,"TXI","Other",1,1
